,ins,rep,model,fun,success,nit,nfev,Ta,Tb,Tc,Td
83,2023_02_09-23_59_00,3,A1,0.011269204140156875,True,35,5400,542.0458625331902,2.089107467586416,548.1892299555195,
84,2023_01_08-11_00_30,3,A1,0.010734833292549302,True,86,13050,5.161080739927854,423.74588483354154,259.100638375083,
85,2023_01_20-13_12_00,3,A1,0.010089103863318948,True,130,19650,165.13052146631634,0.9024877988596245,16.503602053989084,
86,2023_02_13-22_37_00,3,A1,0.010053653867701667,True,69,10500,3.052720822662991,83.20546653111523,38.12981659516555,
87,2023_01_04-00_16_30,3,A1,0.001571825495460418,True,75,11400,383.21837002091866,2.3082341039014977,39.16575362357338,
88,2023_01_24-09_44_02,3,A1,0.00142610736039436,True,59,9000,156.82855075813518,1.9526141290498913,630.5131876310966,
89,2023_01_17-01_31_40,3,A1,0.002622350153944181,True,99,15000,72.28851672812294,3.1447255201564417,27.57425198990842,
90,2023_02_07-04_56_30,3,A1,0.0031174894730358702,True,50,7650,2.946170169117977,592.7059927161556,843.7160744490438,
91,2023_01_25-02_07_20,3,A1,0.0014128383741550574,True,55,8400,75.22754144269476,4.813090034569768,491.26568840150105,
92,2023_02_09-00_13_00,4,A1,0.00027065836242551273,True,126,19050,16.154440112670443,0.9265375967172531,6.371587976018532,
93,2023_02_13-14_08_10,4,A1,15.997741992514753,True,7,1200,464.08435448939707,740.3537381218532,14.29507129005708,
94,2023_01_06-08_45_00,4,A1,0.004523756577766521,True,113,17100,2.9328621225155302,992.8189488299729,61.80489221520992,
95,2023_01_05-00_21_20,4,A1,0.002282233347195802,True,92,13950,4.389162120656067,996.8729224127881,179.29825465747916,
96,2023_01_13-14_04_00,4,A1,0.010977055210808356,True,35,5400,541.1342381364507,3.9786815291848825,620.2515902867017,
97,2023_02_12-10_41_30,4,A1,469.6199446000277,True,18,2850,981.0353349703022,531.9275199384706,2.82008884460123,
98,2023_02_01-21_45_40,4,A1,0.0012962109923018855,True,69,10500,8.270210327498717,165.5662334567216,444.59659462453135,
99,2023_02_24-11_33_50,4,A1,0.0020913509892288144,True,81,12300,2.813422291008692,163.0095395653476,400.3217013978638,
100,2023_02_05-22_20_50,4,A1,0.0011782886724538949,True,72,10950,37.121516102459395,1.9509161399694221,21.328034526656438,
101,2023_02_18-16_43_50,4,A1,0.007379840283300521,True,70,10650,103.24509180873054,2.209288877923427,300.5547825776541,
102,2023_01_09-04_03_00,4,A1,1.9323670992476332,True,11,1800,782.7692995588017,601.6802881758333,14.813798220073693,
103,2023_01_26-00_09_10,4,A1,0.007080220480606297,True,119,18000,530.9176648234725,1.2527172394049444,44.72715390906154,
104,2023_02_17-21_35_00,4,A1,0.004799494182243546,True,93,14100,0.0011504766255825416,15.262560557969095,5.000130884141242,
105,2023_02_17-03_54_00,4,A1,0.0026638801729945857,True,52,7950,4.592643782318362,964.9819451711826,515.5370579019734,
106,2023_02_09-23_59_00,4,A1,0.01118741310908643,True,40,6150,874.2417410237663,2.010774666416353,560.8115431044504,
107,2023_01_08-11_00_30,4,A1,0.010963056574265334,True,66,10050,654.3216498513859,4.313562707983124,209.76512556273025,
108,2023_01_20-13_12_00,4,A1,0.010092097007441724,True,115,17400,164.12352981385283,0.8576204320573311,16.321094135767794,
109,2023_02_13-22_37_00,4,A1,0.010053642820664007,True,74,11250,3.08176803577129,92.88011295118707,40.90902573549471,
110,2023_01_04-00_16_30,4,A1,0.001576172206395384,True,91,13800,301.0100314901033,2.2696410376279346,34.219738591496196,
111,2023_01_24-09_44_02,4,A1,0.0014261983433288368,True,43,6600,1.9559828092025668,128.3778489941809,387.3615541995215,
112,2023_01_17-01_31_40,4,A1,0.002623163652660924,True,82,12450,73.03506811792522,3.179067514735948,27.97824320108458,
113,2023_02_07-04_56_30,4,A1,0.00311692557446551,True,47,7200,2.937542219948,490.188399757946,534.4679544328143,
114,2023_01_25-02_07_20,4,A1,0.001412963083581499,True,53,8100,74.21580012899437,4.821233072641746,473.362321896367,
115,2023_02_09-00_13_00,5,A1,0.0002706909854323016,True,108,16350,0.9126650918281598,16.000480679989323,6.29565718047354,
116,2023_02_13-14_08_10,5,A1,15.997815957304077,True,6,1050,461.2475252223283,800.0267015758802,367.9561114409264,
117,2023_01_06-08_45_00,5,A1,0.004547925333298056,True,92,13950,647.536227452427,2.9105450322078923,46.406658775846495,
118,2023_01_05-00_21_20,5,A1,0.002150023720887954,True,83,12600,3.7036256023245073,417.85340237657675,65.75123828277805,
119,2023_01_13-14_04_00,5,A1,0.010976372707401965,True,50,7650,3.8787208639954542,271.0744213299878,194.58390631956456,
120,2023_02_12-10_41_30,5,A1,469.5222783794166,True,20,3150,439.92400393711307,957.1914250865046,0.3800886492861082,
121,2023_02_01-21_45_40,5,A1,0.0012595338608719702,True,68,10350,83.41768346706601,9.090134308160145,245.84340131313542,
122,2023_02_24-11_33_50,5,A1,0.0020871338031726067,True,77,11700,2.8205311285946095,130.6349890808762,223.26393524358633,
123,2023_02_05-22_20_50,5,A1,0.0011764734806868021,True,75,11400,1.9575554429688395,38.050250198748756,21.61589448919443,
124,2023_02_18-16_43_50,5,A1,0.0073769997631555635,True,80,12150,101.64278641425818,2.2071877647240967,291.22523695585306,
125,2023_01_09-04_03_00,5,A1,1.9209785140517213,True,11,1800,318.6310459070208,61.719509014320295,2.2863220022165365,
126,2023_01_26-00_09_10,5,A1,0.007061296048295136,True,130,19650,1.2513166459128797,569.5536348216866,46.652125454883105,
127,2023_02_17-21_35_00,5,A1,0.004798770876397537,True,100,15150,15.178861851146337,0.0011033765741217394,4.9757412398980705,
128,2023_02_17-03_54_00,5,A1,0.002625885615750871,True,50,7650,4.524623465852301,641.4797063474717,339.9590483655069,
129,2023_02_09-23_59_00,5,A1,0.010989820451275655,True,44,6750,1.879643474529928,132.0146681950344,102.93044610876086,
130,2023_01_08-11_00_30,5,A1,0.010666042471906714,True,89,13500,197.8522540273325,5.754773152982409,72.24632913777526,
131,2023_01_20-13_12_00,5,A1,0.010105495650427844,True,115,17400,162.75422662525034,0.0043366222208192085,15.29474916255532,
132,2023_02_13-22_37_00,5,A1,0.010056659596229117,True,82,12450,3.072587434208117,90.86586200022515,40.10399225660433,
133,2023_01_04-00_16_30,5,A1,0.001572209753914659,True,149,22500,387.2208325182604,2.314507514825266,39.36762528963368,
134,2023_01_24-09_44_02,5,A1,0.0014261387507338722,True,51,7800,135.3977980058969,1.9354652497398774,415.19753536081794,
135,2023_01_17-01_31_40,5,A1,0.002632242811811649,True,73,11100,3.13333911494135,63.43634307907706,25.896028434667755,
136,2023_02_07-04_56_30,5,A1,0.003116559776771732,True,52,7950,2.9420577380309396,477.1192003732405,512.6086471655371,
137,2023_01_25-02_07_20,5,A1,0.0014123323572787908,True,47,7200,4.8428253852833905,63.4181611581044,290.94160967230266,
138,2023_02_09-00_13_00,6,A1,0.00027068195904061867,True,136,20550,0.9302982121524224,16.144237828033738,6.370534898030428,
139,2023_02_13-14_08_10,6,A1,15.997171667693115,True,11,1800,834.2375133684095,711.0243750472561,129.5470529521457,
140,2023_01_06-08_45_00,6,A1,0.0045356376791323445,True,77,11700,774.7349519984097,2.903187924618237,52.15374974321537,
141,2023_01_05-00_21_20,6,A1,0.002133730844223859,True,58,8850,268.22410368379553,3.573063892239304,47.922866170856366,
142,2023_01_13-14_04_00,6,A1,0.010978404954461408,True,43,6600,3.9441173880669,637.4763134160207,738.7369779226777,
143,2023_02_12-10_41_30,6,A1,469.4937145901408,True,19,3000,707.795726202721,669.7409755271065,0.2269391895339936,
144,2023_02_01-21_45_40,6,A1,0.0013163746074404473,True,61,9300,233.54821636679344,8.067322921938967,626.758546339504,
145,2023_02_24-11_33_50,6,A1,0.0020869043767728717,True,60,9150,2.807810913605806,128.77550852464464,208.53810865212347,
146,2023_02_05-22_20_50,6,A1,0.001176506236229734,True,73,11100,38.02159149811939,1.9644741028194517,21.630183468245832,
147,2023_02_18-16_43_50,6,A1,0.0073809693662119785,True,76,11550,2.217042657874515,101.45480466395486,298.77878193708534,
148,2023_01_09-04_03_00,6,A1,0.05542945841871034,True,68,10350,0.0013818969486010246,0.6808929581364396,0.004230486890264729,
149,2023_01_26-00_09_10,6,A1,0.007059418783503026,True,130,19650,1.26806759330168,571.2544231686488,46.57682433143856,
150,2023_02_17-21_35_00,6,A1,0.0047968388455605655,True,92,13950,0.001043677118047981,15.21204969232241,4.9916164673713865,
151,2023_02_17-03_54_00,6,A1,0.002569110717409357,True,66,10050,59.137584925356066,4.25632156602461,46.792728935798266,
152,2023_02_09-23_59_00,6,A1,0.011009264729265753,True,57,8700,138.76406629071886,1.8880953954087545,118.0001600032416,
153,2023_01_08-11_00_30,6,A1,0.010899255923969934,True,55,8400,4.507875751382642,749.5066409821242,426.973854633021,
154,2023_01_20-13_12_00,6,A1,0.02544333156992946,True,45,6900,7.2082821807821915,993.0174481037677,505.3681330950852,
155,2023_02_13-22_37_00,6,A1,0.010052707960891442,True,80,12150,94.093039772287,3.0728437860086615,41.08326887146967,
156,2023_01_04-00_16_30,6,A1,0.001572000929964745,True,127,19200,2.3068310747514715,376.25510536247907,38.76450524919102,
157,2023_01_24-09_44_02,6,A1,0.0014262517650672365,True,46,7050,1.9344582917067328,123.76480667672365,343.57930662871644,
158,2023_01_17-01_31_40,6,A1,0.0026237000131499595,True,72,10950,3.1408783536272153,71.3425361221428,27.352360401126077,
159,2023_02_07-04_56_30,6,A1,0.0031170205045027623,True,83,12600,2.9427482413486814,566.1499517997204,751.2270303221187,
160,2023_01_25-02_07_20,6,A1,0.001413672628662452,True,57,8700,77.13839838626063,4.795321589345917,513.9012423332672,
161,2023_02_09-00_13_00,7,A1,0.00027078505671196076,True,118,17850,16.164674763462017,0.9180062837214109,6.360318058485291,
162,2023_02_13-14_08_10,7,A1,15.996908838797193,True,10,1650,583.0872002691938,605.7219305227655,36.1196049586963,
163,2023_01_06-08_45_00,7,A1,0.0045288874968066025,True,108,16350,2.9256612644286975,880.1111420055031,57.17926677702087,
164,2023_01_05-00_21_20,7,A1,0.002602355885210596,True,56,8550,5.079636472820084,999.3589720126674,823.2234096950795,
165,2023_01_13-14_04_00,7,A1,0.010979778361065187,True,47,7200,459.82030391969903,3.9088546311512573,396.6508963392256,
