Time Stamp,CL_Concepción_UDEC,CIO,Potencia,Inicio
2021-10-13 19:05:34.620000,49.966395,49.966395,143,2610
2021-10-13 19:05:34.640000,49.966677,49.966677,143,2610
2021-10-13 19:05:34.660000,49.966109,49.966109,143,2610
2021-10-13 19:05:34.680000,49.964472,49.964472,143,2610
2021-10-13 19:05:34.700000,49.964426,49.964426,143,2610
2021-10-13 19:05:34.720000,49.966008,49.966008,143,2610
2021-10-13 19:05:34.740000,49.966351,49.966351,143,2610
2021-10-13 19:05:34.760000,49.965182,49.965182,143,2610
2021-10-13 19:05:34.780000,49.964635,49.964635,143,2610
2021-10-13 19:05:34.800000,49.965421,49.965421,143,2610
2021-10-13 19:05:34.820000,49.966207,49.966207,143,2610
2021-10-13 19:05:34.840000,49.96573,49.96573,143,2610
2021-10-13 19:05:34.860000,49.964912,49.964912,143,2610
2021-10-13 19:05:34.880000,49.965478,49.965478,143,2610
2021-10-13 19:05:34.900000,49.966246,49.966246,143,2610
2021-10-13 19:05:34.920000,49.965321,49.965321,143,2610
2021-10-13 19:05:34.940000,49.964869,49.964869,143,2610
2021-10-13 19:05:34.960000,49.965841,49.965841,143,2610
2021-10-13 19:05:34.980000,49.966243,49.966243,143,2610
2021-10-13 19:05:35.000000,49.96637,49.96637,143,2610
2021-10-13 19:05:35.020000,49.966716,49.966716,143,2610
2021-10-13 19:05:35.040000,49.966881,49.966881,143,2610
2021-10-13 19:05:35.060000,49.966811,49.966811,143,2610
2021-10-13 19:05:35.080000,49.966094,49.966094,143,2610
2021-10-13 19:05:35.100000,49.964726,49.964726,143,2610
2021-10-13 19:05:35.120000,49.965017,49.965017,143,2610
2021-10-13 19:05:35.140000,49.966899,49.966899,143,2610
2021-10-13 19:05:35.160000,49.967525,49.967525,143,2610
2021-10-13 19:05:35.180000,49.96651,49.96651,143,2610
2021-10-13 19:05:35.200000,49.966554,49.966554,143,2610
2021-10-13 19:05:35.220000,49.967819,49.967819,143,2610
2021-10-13 19:05:35.240000,49.967953,49.967953,143,2610
2021-10-13 19:05:35.260000,49.967023,49.967023,143,2610
2021-10-13 19:05:35.280000,49.967037,49.967037,143,2610
2021-10-13 19:05:35.300000,49.968446,49.968446,143,2610
2021-10-13 19:05:35.320000,49.969486,49.969486,143,2610
2021-10-13 19:05:35.340000,49.968791,49.968791,143,2610
2021-10-13 19:05:35.360000,49.967801,49.967801,143,2610
2021-10-13 19:05:35.380000,49.968167,49.968167,143,2610
2021-10-13 19:05:35.400000,49.96936,49.96936,143,2610
2021-10-13 19:05:35.420000,49.969342,49.969342,143,2610
2021-10-13 19:05:35.440000,49.968579,49.968579,143,2610
2021-10-13 19:05:35.460000,49.969122,49.969122,143,2610
2021-10-13 19:05:35.480000,49.96969,49.96969,143,2610
2021-10-13 19:05:35.500000,49.969203,49.969203,143,2610
2021-10-13 19:05:35.520000,49.968746,49.968746,143,2610
2021-10-13 19:05:35.540000,49.968865,49.968865,143,2610
2021-10-13 19:05:35.560000,49.968912,49.968912,143,2610
2021-10-13 19:05:35.580000,49.968694,49.968694,143,2610
2021-10-13 19:05:35.600000,49.968315,49.968315,143,2610
2021-10-13 19:05:35.620000,49.968195,49.968195,143,2610
2021-10-13 19:05:35.640000,49.968504,49.968504,143,2610
2021-10-13 19:05:35.660000,49.968176,49.968176,143,2610
2021-10-13 19:05:35.680000,49.967436,49.967436,143,2610
2021-10-13 19:05:35.700000,49.968423,49.968423,143,2610
2021-10-13 19:05:35.720000,49.970278,49.970278,143,2610
2021-10-13 19:05:35.740000,49.970434,49.970434,143,2610
2021-10-13 19:05:35.760000,49.969397,49.969397,143,2610
2021-10-13 19:05:35.780000,49.969005,49.969005,143,2610
2021-10-13 19:05:35.800000,49.969709,49.969709,143,2610
2021-10-13 19:05:35.820000,49.969667,49.969667,143,2610
2021-10-13 19:05:35.840000,49.968638,49.968638,143,2610
2021-10-13 19:05:35.860000,49.968306,49.968306,143,2610
2021-10-13 19:05:35.880000,49.968963,49.968963,143,2610
2021-10-13 19:05:35.900000,49.969004,49.969004,143,2610
2021-10-13 19:05:35.920000,49.968343,49.968343,143,2610
2021-10-13 19:05:35.940000,49.96856,49.96856,143,2610
2021-10-13 19:05:35.960000,49.969908,49.969908,143,2610
2021-10-13 19:05:35.980000,49.969629,49.969629,143,2610
2021-10-13 19:05:36.000000,49.968451,49.968451,143,2610
2021-10-13 19:05:36.020000,49.969823,49.969823,143,2610
2021-10-13 19:05:36.040000,49.97208,49.97208,143,2610
2021-10-13 19:05:36.060000,49.971484,49.971484,143,2610
2021-10-13 19:05:36.080000,49.969785,49.969785,143,2610
2021-10-13 19:05:36.100000,49.969574,49.969574,143,2610
2021-10-13 19:05:36.120000,49.97061,49.97061,143,2610
2021-10-13 19:05:36.140000,49.971823,49.971823,143,2610
2021-10-13 19:05:36.160000,49.972023,49.972023,143,2610
2021-10-13 19:05:36.180000,49.971157,49.971157,143,2610
2021-10-13 19:05:36.200000,49.970904,49.970904,143,2610
2021-10-13 19:05:36.220000,49.971815,49.971815,143,2610
2021-10-13 19:05:36.240000,49.971777,49.971777,143,2610
2021-10-13 19:05:36.260000,49.971352,49.971352,143,2610
2021-10-13 19:05:36.280000,49.972269,49.972269,143,2610
2021-10-13 19:05:36.300000,49.973129,49.973129,143,2610
2021-10-13 19:05:36.320000,49.972869,49.972869,143,2610
2021-10-13 19:05:36.340000,49.972615,49.972615,143,2610
2021-10-13 19:05:36.360000,49.973139,49.973139,143,2610
2021-10-13 19:05:36.380000,49.973376,49.973376,143,2610
2021-10-13 19:05:36.400000,49.972935,49.972935,143,2610
2021-10-13 19:05:36.420000,49.973017,49.973017,143,2610
2021-10-13 19:05:36.440000,49.973364,49.973364,143,2610
2021-10-13 19:05:36.460000,49.973812,49.973812,143,2610
2021-10-13 19:05:36.480000,49.974007,49.974007,143,2610
2021-10-13 19:05:36.500000,49.973695,49.973695,143,2610
2021-10-13 19:05:36.520000,49.973861,49.973861,143,2610
2021-10-13 19:05:36.540000,49.974061,49.974061,143,2610
2021-10-13 19:05:36.560000,49.974039,49.974039,143,2610
2021-10-13 19:05:36.580000,49.974299,49.974299,143,2610
2021-10-13 19:05:36.600000,49.974499,49.974499,143,2610
2021-10-13 19:05:36.620000,49.974532,49.974532,143,2610
2021-10-13 19:05:36.640000,49.974255,49.974255,143,2610
2021-10-13 19:05:36.660000,49.973531,49.973531,143,2610
