Time Stamp,CL_Concepción_UDEC,CL_Santiago_USACH,CL_Temuco_UFRO,CIO,Potencia,Inicio
2021-08-12 07:26:03.260000,49.881041,49.881907,49.879558,49.88083533333333,120,2670
2021-08-12 07:26:03.280000,49.88005,49.883454,49.879222,49.88090866666666,120,2670
2021-08-12 07:26:03.300000,49.877513,49.86513,49.879481,49.87404133333333,120,2670
2021-08-12 07:26:03.320000,49.879018,49.868657,49.880243,49.87597266666666,120,2670
2021-08-12 07:26:03.340000,49.882274,49.89051,49.87981,49.884198,120,2670
2021-08-12 07:26:03.360000,49.88149,49.882676,49.879069,49.881078333333335,120,2670
2021-08-12 07:26:03.380000,49.879528,49.880111,49.879972,49.879870333333336,120,2670
2021-08-12 07:26:03.400000,49.879485,49.879227,49.88166,49.880124,120,2670
2021-08-12 07:26:03.420000,49.880583,49.884245,49.881936,49.88225466666666,120,2670
2021-08-12 07:26:03.440000,49.880398,49.878676,49.879722,49.87959866666667,120,2670
2021-08-12 07:26:03.460000,49.87937,49.867046,49.878148,49.87485466666667,120,2670
2021-08-12 07:26:03.480000,49.879634,49.885454,49.879296,49.881461333333334,120,2670
2021-08-12 07:26:03.500000,49.879463,49.885004,49.880056,49.881507666666664,120,2670
2021-08-12 07:26:03.520000,49.878301,49.878162,49.879584,49.87868233333333,120,2670
2021-08-12 07:26:03.540000,49.878921,49.869407,49.880497,49.876275,120,2670
2021-08-12 07:26:03.560000,49.881472,49.883121,49.881644,49.882079000000004,120,2670
2021-08-12 07:26:03.580000,49.882222,49.887231,49.880273,49.883241999999996,120,2670
2021-08-12 07:26:03.600000,49.881519,49.883148,49.878735,49.881134,120,2670
2021-08-12 07:26:03.620000,49.879421,49.880546,49.877978,49.879315,120,2670
2021-08-12 07:26:03.640000,49.878144,49.864704,49.878095,49.87364766666667,120,2670
2021-08-12 07:26:03.660000,49.880496,49.875759,49.880197,49.87881733333334,120,2670
2021-08-12 07:26:03.680000,49.882306,49.878879,49.880691,49.880625333333334,120,2670
2021-08-12 07:26:03.700000,49.881315,49.887445,49.879913,49.882891,120,2670
2021-08-12 07:26:03.720000,49.878643,49.893796,49.879836,49.884091666666656,120,2670
2021-08-12 07:26:03.740000,49.876056,49.873731,49.878898,49.87622833333333,120,2670
2021-08-12 07:26:03.760000,49.876226,49.870269,49.878281,49.87492533333333,120,2670
2021-08-12 07:26:03.780000,49.878066,49.884019,49.880115,49.88073333333333,120,2670
2021-08-12 07:26:03.800000,49.878959,49.886796,49.881416,49.88239033333334,120,2670
2021-08-12 07:26:03.820000,49.879439,49.887222,49.879981,49.882214,120,2670
2021-08-12 07:26:03.840000,49.87906,49.884167,49.877789,49.88033866666667,120,2670
2021-08-12 07:26:03.860000,49.876347,49.871695,49.87703,49.875023999999996,120,2670
2021-08-12 07:26:03.880000,49.875954,49.871287,49.878074,49.875105,120,2670
2021-08-12 07:26:03.900000,49.880185,49.886333,49.880602,49.882373333333334,120,2670
2021-08-12 07:26:03.920000,49.882603,49.879917,49.881381,49.881300333333336,120,2670
2021-08-12 07:26:03.940000,49.88094,49.883342,49.879491,49.88125766666667,120,2670
2021-08-12 07:26:03.960000,49.878852,49.876917,49.878517,49.878095333333334,120,2670
2021-08-12 07:26:03.980000,49.878495,49.87751,49.879295,49.878433333333334,120,2670
2021-08-12 07:26:04.000000,49.878681,49.881782,49.879281,49.87991466666667,120,2670
2021-08-12 07:26:04.020000,49.879092,49.874949,49.87917,49.877737,120,2670
2021-08-12 07:26:04.040000,49.879999,49.875343,49.87989,49.87841066666667,120,2670
2021-08-12 07:26:04.060000,49.881004,49.880805,49.879816,49.880541666666666,120,2670
2021-08-12 07:26:04.080000,49.881129,49.879982,49.879234,49.880114999999996,120,2670
2021-08-12 07:26:04.100000,49.880037,49.881176,49.878791,49.88000133333333,120,2670
2021-08-12 07:26:04.120000,49.878481,49.878602,49.878579,49.878554,120,2670
2021-08-12 07:26:04.140000,49.877524,49.876805,49.879337,49.87788866666667,120,2670
2021-08-12 07:26:04.160000,49.878223,49.879824,49.879631,49.879225999999996,120,2670
2021-08-12 07:26:04.180000,49.87907,49.873871,49.878514,49.87715166666666,120,2670
2021-08-12 07:26:04.200000,49.878541,49.880194,49.878031,49.878921999999996,120,2670
