Time Stamp,CL_Concepción_UDEC,CL_Copiapó_UDA,CL_Santiago_UTEM,CIO,Potencia,Inicio
2022-05-10 03:52:57.420000,49.981078,49.982066,49.982078,49.98174066666667,73,1695
2022-05-10 03:52:57.440000,49.979837,49.98194,49.984088,49.981955000000006,73,1695
2022-05-10 03:52:57.460000,49.980433,49.980944,49.983514,49.98163033333333,73,1695
2022-05-10 03:52:57.480000,49.982138,49.981355,49.982087,49.981860000000005,73,1695
2022-05-10 03:52:57.500000,49.982267,49.981633,49.980695,49.98153166666666,73,1695
2022-05-10 03:52:57.520000,49.980019,49.980476,49.980005,49.98016666666667,73,1695
2022-05-10 03:52:57.540000,49.978622,49.980278,49.980793,49.979897666666666,73,1695
2022-05-10 03:52:57.560000,49.981475,49.981834,49.981908,49.981739000000005,73,1695
2022-05-10 03:52:57.580000,49.9844,49.981747,49.982127,49.982758,73,1695
2022-05-10 03:52:57.600000,49.982634,49.979484,49.980025,49.98071433333333,73,1695
2022-05-10 03:52:57.620000,49.980808,49.978899,49.979088,49.979598333333335,73,1695
2022-05-10 03:52:57.640000,49.981411,49.980523,49.981347,49.98109366666667,73,1695
2022-05-10 03:52:57.660000,49.981002,49.980224,49.980696,49.980640666666666,73,1695
2022-05-10 03:52:57.680000,49.979885,49.979056,49.97858,49.97917366666667,73,1695
2022-05-10 03:52:57.700000,49.979815,49.979464,49.978913,49.97939733333334,73,1695
2022-05-10 03:52:57.720000,49.980315,49.979803,49.979661,49.97992633333333,73,1695
2022-05-10 03:52:57.740000,49.979936,49.979548,49.980074,49.979852666666666,73,1695
2022-05-10 03:52:57.760000,49.97896,49.979668,49.980214,49.979614,73,1695
2022-05-10 03:52:57.780000,49.978932,49.980128,49.97836,49.97914,73,1695
2022-05-10 03:52:57.800000,49.979447,49.980194,49.977222,49.97895433333334,73,1695
2022-05-10 03:52:57.820000,49.979356,49.980161,49.979546,49.97968766666667,73,1695
