Time Stamp,CL_Concepción_UDEC,CL_Copiapó_UDA,CL_Santiago_USACH,CL_Santiago_UTEM,CIO,Potencia,Inicio
2022-04-14 16:00:03.080000,49.971033,49.969976,49.940699,49.970978,49.9631715,98,2325
2022-04-14 16:00:03.100000,49.970242,49.970356,49.940699,49.971159,49.963114,98,2325
2022-04-14 16:00:03.120000,49.969935,49.971384,49.971244,49.971939,49.97112549999999,98,2325
2022-04-14 16:00:03.140000,49.970685,49.971672,49.970998,49.972211,49.971391499999996,98,2325
2022-04-14 16:00:03.160000,49.970718,49.971194,49.972914,49.971385,49.97155275,98,2325
2022-04-14 16:00:03.180000,49.969944,49.971152,49.970803,49.971251,49.97078749999999,98,2325
2022-04-14 16:00:03.200000,49.970454,49.971246,49.972815,49.972242,49.97168925,98,2325
2022-04-14 16:00:03.220000,49.97208,49.970606,49.972198,49.97269,49.9718935,98,2325
2022-04-14 16:00:03.240000,49.97263,49.97018,49.971386,49.972135,49.97158275,98,2325
2022-04-14 16:00:03.260000,49.972157,49.970569,49.971386,49.971339,49.97136275,98,2325
2022-04-14 16:00:03.280000,49.971763,49.970833,49.971386,49.971372,49.9713385,98,2325
2022-04-14 16:00:03.300000,49.971759,49.970936,49.971386,49.971379,49.971365000000006,98,2325
2022-04-14 16:00:03.320000,49.971721,49.971157,49.97138,49.970706,49.971241000000006,98,2325
2022-04-14 16:00:03.340000,49.97074,49.971078,49.969841,49.969811,49.970367499999995,98,2325
2022-04-14 16:00:03.360000,49.969598,49.970611,49.970975,49.969259,49.970110749999996,98,2325
2022-04-14 16:00:03.380000,49.969603,49.970106,49.96962,49.96932,49.96966225,98,2325
2022-04-14 16:00:03.400000,49.970601,49.970102,49.969967,49.970028,49.9701745,98,2325
2022-04-14 16:00:03.420000,49.971114,49.970769,49.972367,49.970578,49.97120699999999,98,2325
2022-04-14 16:00:03.440000,49.970592,49.970731,49.940414,49.970232,49.962992250000006,98,2325
2022-04-14 16:00:03.460000,49.970078,49.970238,49.940414,49.96984,49.9626425,98,2325
2022-04-14 16:00:03.480000,49.970509,49.971124,49.940414,49.970357,49.963101,98,2325
