Time Stamp,CL_Curicó_UTALCA,CL_Santiago_UTEM,CIO,Potencia,Inicio
2022-01-07 03:22:03.580000,50.004863,50.004936,50.0048995,360,3780
2022-01-07 03:22:03.600000,50.004381,50.005,50.0046905,360,3780
2022-01-07 03:22:03.620000,50.004399,50.004982,50.004690499999995,360,3780
2022-01-07 03:22:03.640000,50.004823,50.005212,50.0050175,360,3780
2022-01-07 03:22:03.660000,50.00545,50.005227,50.0053385,360,3780
2022-01-07 03:22:03.680000,50.005866,50.004868,50.005367,360,3780
2022-01-07 03:22:03.700000,50.005517,50.004775,50.005145999999996,360,3780
2022-01-07 03:22:03.720000,50.004509,50.004782,50.004645499999995,360,3780
2022-01-07 03:22:03.740000,50.003625,50.004746,50.0041855,360,3780
2022-01-07 03:22:03.760000,50.003782,50.004633,50.0042075,360,3780
2022-01-07 03:22:03.780000,50.004431,50.004593,50.004512,360,3780
2022-01-07 03:22:03.800000,50.004541,50.00482,50.004680500000006,360,3780
2022-01-07 03:22:03.820000,50.004532,50.004923,50.0047275,360,3780
2022-01-07 03:22:03.840000,50.004796,50.004969,50.0048825,360,3780
2022-01-07 03:22:03.860000,50.005033,50.004815,50.004924,360,3780
2022-01-07 03:22:03.880000,50.00487,50.004213,50.0045415,360,3780
2022-01-07 03:22:03.900000,50.004712,50.003625,50.0041685,360,3780
2022-01-07 03:22:03.920000,50.004667,50.003284,50.003975499999996,360,3780
2022-01-07 03:22:03.940000,50.004157,50.002991,50.003574,360,3780
2022-01-07 03:22:03.960000,50.003824,50.003271,50.003547499999996,360,3780
2022-01-07 03:22:03.980000,50.003884,50.003674,50.003778999999994,360,3780
2022-01-07 03:22:04.000000,50.004111,50.003468,50.003789499999996,360,3780
2022-01-07 03:22:04.020000,50.004143,50.003058,50.003600500000005,360,3780
2022-01-07 03:22:04.040000,50.00368,50.003197,50.0034385,360,3780
2022-01-07 03:22:04.060000,50.003264,50.003693,50.0034785,360,3780
2022-01-07 03:22:04.080000,50.003343,50.003969,50.003656,360,3780
2022-01-07 03:22:04.100000,50.003537,50.003749,50.003643,360,3780
2022-01-07 03:22:04.120000,50.003473,50.002875,50.003174,360,3780
2022-01-07 03:22:04.140000,50.003306,50.002253,50.0027795,360,3780
2022-01-07 03:22:04.160000,50.002837,50.002483,50.00266,360,3780
2022-01-07 03:22:04.180000,50.002287,50.002999,50.002643000000006,360,3780
2022-01-07 03:22:04.200000,50.002114,50.002986,50.00255,360,3780
2022-01-07 03:22:04.220000,50.002002,50.002196,50.002099,360,3780
2022-01-07 03:22:04.240000,50.002125,50.001753,50.001939,360,3780
2022-01-07 03:22:04.260000,50.002331,50.002061,50.002196,360,3780
2022-01-07 03:22:04.280000,50.002206,50.002209,50.0022075,360,3780
2022-01-07 03:22:04.300000,50.001674,50.001286,50.00148,360,3780
2022-01-07 03:22:04.320000,50.001057,50.000428,50.0007425,360,3780
2022-01-07 03:22:04.340000,50.001397,50.000933,50.001165,360,3780
