Time Stamp,CL_Concepción_UDEC,CL_Copiapó_UDA,CL_Curicó_UTALCA,CIO,Potencia,Inicio
2023-02-09 00:13:02.800000,50.009967,50.008421,50.010988,50.009792000000004,154,2550
2023-02-09 00:13:02.820000,50.010936,50.007583,50.010383,50.009634,154,2550
2023-02-09 00:13:02.840000,50.009982,50.005907,50.009251,50.008379999999995,154,2550
2023-02-09 00:13:02.860000,50.008834,50.005625,50.008981,50.00781333333333,154,2550
2023-02-09 00:13:02.880000,50.008791,50.005629,50.008224,50.00754800000001,154,2550
2023-02-09 00:13:02.900000,50.008309,50.006171,50.007342,50.007273999999995,154,2550
2023-02-09 00:13:02.920000,50.007337,50.008051,50.007553,50.007647,154,2550
2023-02-09 00:13:02.940000,50.007658,50.009597,50.007888,50.00838100000001,154,2550
2023-02-09 00:13:02.960000,50.008551,50.009662,50.008295,50.008836,154,2550
2023-02-09 00:13:02.980000,50.007991,50.00838,50.008775,50.008382000000005,154,2550
2023-02-09 00:13:03.000000,50.007593,50.007663,50.009178,50.00814466666666,154,2550
2023-02-09 00:13:03.020000,50.007306,50.007189,50.008963,50.00781933333334,154,2550
2023-02-09 00:13:03.040000,50.006162,50.005287,50.008054,50.00650099999999,154,2550
2023-02-09 00:13:03.060000,50.005528,50.004255,50.006669,50.005484,154,2550
2023-02-09 00:13:03.080000,50.005861,50.005005,50.00547,50.005445333333334,154,2550
2023-02-09 00:13:03.100000,50.006051,50.005773,50.005008,50.00561066666666,154,2550
2023-02-09 00:13:03.120000,50.006959,50.005847,50.005027,50.00594433333333,154,2550
2023-02-09 00:13:03.140000,50.006806,50.004615,50.003922,50.00511433333333,154,2550
2023-02-09 00:13:03.160000,50.004199,50.004829,50.00316,50.00406266666667,154,2550
2023-02-09 00:13:03.180000,50.00311,50.006983,50.003951,50.00468133333334,154,2550
2023-02-09 00:13:03.200000,50.00394,50.00702,50.004854,50.00527133333333,154,2550
2023-02-09 00:13:03.220000,50.003505,50.005467,50.004712,50.004561333333335,154,2550
2023-02-09 00:13:03.240000,50.003737,50.004782,50.00443,50.00431633333333,154,2550
2023-02-09 00:13:03.260000,50.004816,50.004208,50.004251,50.004425,154,2550
2023-02-09 00:13:03.280000,50.004722,50.004024,50.003605,50.004117,154,2550
2023-02-09 00:13:03.300000,50.004388,50.004106,50.002415,50.00363633333333,154,2550
2023-02-09 00:13:03.320000,50.003782,50.00368,50.000767,50.002743,154,2550
2023-02-09 00:13:03.340000,50.001653,50.003064,49.999261,50.001326,154,2550
2023-02-09 00:13:03.360000,49.999894,50.003407,49.999436,50.00091233333333,154,2550
